Title,Season,Genre,Network,Release_Date,Critic_Score,Critics_votes,User_Score,Users_votes
Marvel's Cloak & Dagger,1,"Drama,Action & Adventure",Freeform,07/06/2018,68,15,5.7,93
Man in an Orange Shirt,1,"Drama,Movie/Mini-Series",PBS,17/06/2018,72,6,5.7,6
Nashville (2012),5,"Drama,Music",ABC,15/12/2016,82,4,5.7,19
A Christmas Carol (2019),1,"Drama,Movie/Mini-Series,Fantasy",FX,19/12/2019,49,12,5.7,28
A Deadly Adoption,1,"Drama,Movie/Mini-Series",LIFETIME,20/06/2015,44,4,5.7,10
The Following,2,"Drama,Action & Adventure,Suspense",FOX,19/01/2014,44,9,5.7,94
The Mysteries of Laura,1,"Comedy,Drama",NBC,17/09/2014,37,28,5.7,76
The Protector,1,Drama,LIFETIME,12/06/2011,53,10,5.7,6
The Tudors,4,"Drama,Suspense",SHOWTIME,11/04/2010,63,6,5.7,41
Tom Clancy's Jack Ryan,2,"Drama,Action & Adventure,Suspense",Prime Video,31/10/2019,56,6,5.7,43
Undercovers,1,"Drama,Action & Adventure,Suspense",NBC,22/09/2010,63,27,5.7,25
Wisdom of the Crowd,1,Drama,CBS,01/10/2017,35,17,5.7,44
Rent (2019),1,"Drama,Events & Specials,Music",FOX,27/01/2019,49,12,5.7,6
South of Hell,1,"Drama,Fantasy,Horror",WE - Women's Entertainment,27/11/2015,27,4,5.7,16
Being Mary Jane,1,"Drama,Movie/Mini-Series,Suspense",BET - Black Entertainment Television,02/07/2013,78,4,5.7,6
Blue Lagoon: The Awakening,1,Drama,LIFETIME,16/06/2012,51,5,5.7,6
Childhood's End,1,"Drama,Science Fiction",SyFy,14/12/2015,61,19,5.7,73
Crash,1,Drama,Starz,17/10/2008,43,18,5.7,20
For All Mankind,1,"Drama,Science Fiction",Apple TV+,01/11/2019,65,22,5.7,47
Zoo,1,"Drama,Action & Adventure,Suspense,Science Fiction",CBS,30/06/2015,55,26,5.8,97
Jett,1,Drama,Cinemax,14/06/2019,65,4,5.8,13
Killer Women,1,"Drama,Action & Adventure",ABC,07/01/2014,49,22,5.8,20
Mary and Martha,1,"Drama,Movie/Mini-Series",HBO,20/04/2013,67,9,5.8,4
Marvel's Jessica Jones,3,"Drama,Action & Adventure",Netflix,14/06/2019,65,7,5.8,54
New Amsterdam (2018),1,Drama,NBC,25/09/2018,47,14,5.8,39
Outcasts,1,"Drama,Science Fiction",BBC-1,18/06/2011,43,7,5.8,16
Watchmen (2019),1,"Drama,Action & Adventure",HBO,20/10/2019,85,35,5.8,463
The Chi,1,Drama,SHOWTIME,07/01/2018,73,22,5.8,51
The Crossing (2018),1,"Drama,Science Fiction",ABC,02/04/2018,59,12,5.8,37
The Following,1,"Drama,Action & Adventure,Suspense",FOX,21/01/2013,62,35,5.8,422
The Playboy Club,1,Drama,NBC,19/09/2011,45,28,5.8,33
The Royals,1,Drama,E!,15/03/2015,48,19,5.8,40
The Rook,1,"Drama,Action & Adventure,Fantasy,Suspense",Starz,30/06/2019,62,6,5.8,20
The Returned (2015),1,"Drama,Horror",A&E,09/03/2015,67,24,5.8,56
Ties That Bind,1,Drama,UP,12/08/2015,53,4,5.8,6
Thirteen,1,"Drama,Suspense",BBC America,23/06/2016,73,10,5.8,19
Unsolved: The Murders of Tupac and The Notorious B.I.G.,1,Drama,USA,27/02/2018,67,16,5.8,25
Vienna Blood,1,"Drama,Suspense",PBS,19/01/2020,72,4,5.8,4
Revolution,1,"Drama,Action & Adventure",NBC,17/09/2012,64,32,5.8,369
Homeland Security USA,1,"Drama,Reality,Action & Adventure,Game Show",ABC,06/01/2009,47,6,5.8,9
Graves,1,"Comedy,Drama",Epix,16/10/2016,61,10,5.8,22
Huge,1,"Comedy,Drama,Health & Lifestyle",ABC Family,28/06/2010,70,13,5.8,21
See,1,Drama,Apple TV+,01/11/2019,37,21,5.8,85
Tatau,1,"Drama,Suspense",BBC America,18/04/2015,41,4,5.8,15
Supergirl (2015),2,"Drama,Action & Adventure,Fantasy,Science Fiction",CBS,10/10/2016,81,4,5.8,171
Arthur & George,1,"Drama,Movie/Mini-Series",PBS,06/09/2015,73,10,5.8,4
Beyond (2017),1,"Drama,Suspense",Freeform,02/01/2017,48,4,5.8,22
Knightfall,1,"Drama,Action & Adventure,Documentary",The History Channel,06/12/2017,47,12,5.9,64
Knight Rider,1,"Drama,Action & Adventure",NBC,24/09/2008,21,20,5.9,49
Liar,1,"Drama,Suspense",ITV,27/09/2017,63,10,5.9,16
Krypton,1,"Drama,Action & Adventure,Science Fiction",SyFy,21/03/2018,53,14,5.9,74
Madam Secretary,1,Drama,CBS,21/09/2014,66,31,5.9,175
Melrose Place,1,Drama,The CW,08/09/2009,55,24,5.9,28
Necessary Roughness,1,"Sports,Drama,Sports",USA,29/06/2011,62,21,5.9,27
Ordeal By Innocence,1,"Drama,Movie/Mini-Series,Suspense",Prime Video,10/08/2018,71,10,5.9,12
Petals on the Wind,1,"Drama,Movie/Mini-Series,Horror",LIFETIME,26/05/2014,64,4,5.9,12
The Family (2016),1,"Drama,Suspense",ABC,03/03/2016,58,22,5.9,42
The Fall,3,"Drama,Suspense",RTE One,29/10/2016,60,4,5.9,36
The Innocents (2018),1,"Drama,Science Fiction",Netflix,24/08/2018,70,13,5.9,34
Treasure Hunters,1,"Drama,Reality,Game Show",NBC,18/06/2006,41,13,5.9,47
Unforgettable,1,"Drama,Action & Adventure,Suspense",CBS,20/09/2011,57,20,5.9,52
Under the Dome,1,"Drama,Action & Adventure,Science Fiction",CBS,24/06/2013,72,35,5.9,450
Will,1,Drama,CBS,10/07/2017,62,27,5.9,26
Girlfriends' Guide to Divorce,1,"Comedy,Drama",Bravo,02/12/2014,69,21,5.9,17
Harlots,1,Drama,HULU,29/03/2017,74,17,5.9,35
Hard Sun,1,Drama,HULU,06/01/2018,46,9,5.9,15
Hostages,1,"Drama,Action & Adventure,Science Fiction",CBS,23/09/2013,64,29,5.9,102
In The Dark,1,Drama,The CW,04/04/2019,54,6,5.9,11
I Am The Night,1,"Drama,Movie/Mini-Series,Suspense",TNT,28/01/2019,59,26,5.9,31
Quantico,1,"Drama,Suspense",ABC,27/09/2015,70,25,5.9,231
Scorpion,1,"Drama,Action & Adventure,Suspense,Science,Tech & Gaming",CBS,22/09/2014,48,24,5.9,267
Saving Hope,1,"Drama,Science Fiction",NBC,07/06/2012,49,16,5.9,23
Sleeper Cell,2,"Drama,Action & Adventure",SHOWTIME,10/12/2006,73,20,5.9,19
The Assets,1,"Drama,Movie/Mini-Series,Action & Adventure,Suspense",ABC,02/01/2014,58,15,5.9,15
Black Mirror,5,"Drama,Science Fiction",Channel 4,16/12/2014,66,13,5.9,186
COPS (1989),1,"Drama,Reality,Game Show",FOX,11/03/1989,82,5,5.9,10
Cult,1,Drama,The CW,19/02/2013,46,20,5.9,39
Fairly Legal ,2,Drama,USA,16/03/2012,51,6,5.9,14
Mythic Quest: Raven's Banquet,1,"Comedy,Drama",Apple TV+,07/02/2020,73,12,6,56
Klondike (2014),1,"Drama,Movie/Mini-Series,Action & Adventure",Discovery Channel,20/01/2014,74,19,6,31
Locke & Key,1,"Drama,Fantasy,Horror,Suspense",Netflix,07/02/2020,62,20,6,75
Luther,2,"Drama,Suspense",BBC-1,14/06/2011,78,9,6,177
Lost in Space (2018),1,"Drama,Action & Adventure,Science Fiction",Netflix,13/04/2018,58,27,6,340
Manhattan Love Story,1,"Comedy,Drama",ABC,30/09/2014,42,24,6,36
Matador,1,"Drama,Action & Adventure",El Rey Network,15/07/2014,62,10,6,13
Marvel's Jessica Jones,2,"Drama,Action & Adventure",Netflix,08/03/2018,70,19,6,300
Marvel's Iron Fist,1,"Drama,Action & Adventure,Fantasy",Netflix,17/03/2017,37,21,6,1296
Mental,1,"Drama,Health & Lifestyle",FOX,26/05/2009,39,18,6,39
Murder in the First,2,"Drama,Action & Adventure",TNT,08/06/2015,67,4,6,13
Patrick Melrose,1,"Drama,Movie/Mini-Series",SHOWTIME,12/05/2018,80,32,6,168
21 Jump Street,1,"Drama,Action & Adventure,Suspense",FOX,12/04/1987,13,4,6,12
Allegiance (2015),1,"Drama,Action & Adventure,Suspense",NBC,05/02/2015,57,28,6,44
A Very English Scandal,1,"Drama,Movie/Mini-Series",Prime Video,29/06/2018,84,17,6,59
The Flash (2014),3,"Drama,Action & Adventure,Fantasy,Science Fiction",The CW,04/10/2016,80,4,6,207
The Outpost,1,"Drama,Action & Adventure,Fantasy",The CW,10/07/2018,39,5,6,34
The Son,1,Drama,AMC,08/04/2017,57,21,6,36
The Tudors,3,"Drama,Suspense",SHOWTIME,22/03/2009,74,6,6,41
The White Princess,1,Drama,Starz,16/04/2017,71,9,6,26
Titanic: Blood and Steel,1,Drama,Encore,09/10/2012,55,4,6,4
True Blood,6,"Drama,Fantasy,Horror",HBO,16/06/2013,58,11,6,121
Waco,1,"Drama,Movie/Mini-Series",Paramount Network,24/01/2018,56,15,6,46
Without a Trace,1,"Drama,Suspense",CBS,26/09/2002,75,29,6,7
Howards End,1,"Drama,Movie/Mini-Series",Starz,08/04/2018,86,15,6,33
Secret Diary of a Call Girl,1,Drama,SHOWTIME,16/06/2008,53,22,6,23
Stargate Universe,1,"Drama,Action & Adventure,Science Fiction",SyFy,02/10/2009,61,9,6,497
State of Affairs,1,Drama,NBC,17/11/2014,43,28,6,69
Tell Me You Love Me,1,Drama,HBO,09/09/2007,58,25,6,42
The Astronaut Wives Club,1,Drama,ABC,18/06/2015,60,24,6,17
American Housewife,1,"Comedy,Drama",ABC,11/10/2016,60,25,6,43
Cardinal,1,"Drama,Suspense",CTV,15/06/2017,71,6,6,21
Chilling Adventures of Sabrina,1,"Drama,Fantasy",Netflix,26/10/2018,74,28,6,334
Conviction (2016),1,Drama,ABC,03/10/2016,45,25,6,61
DC's Legends of Tomorrow,1,"Drama,Action & Adventure,Fantasy,Science Fiction",The CW,21/01/2016,58,22,6,348
Easy,1,Drama,Netflix,22/09/2016,72,10,6,51
Dracula (2020),1,"Drama,Horror",Netflix,04/01/2020,75,8,6,171
Empire (2015),2,"Drama,Music",ABC,23/09/2015,77,22,6,81
Intruders,1,"Drama,Suspense,Science Fiction",BBC America,23/08/2014,47,17,6.1,41
Lizzie Borden Took an Ax,1,"Drama,Movie/Mini-Series",LIFETIME,25/01/2014,55,12,6.1,10
Mosaic,1,"Drama,Movie/Mini-Series",HBO,22/01/2018,73,19,6.1,34
Nightingale,1,"Drama,Movie/Mini-Series",HBO,29/05/2015,67,13,6.1,10
National Treasure (2017),1,Drama,Channel 4,01/03/2017,83,17,6.1,18
The Good Fight,3,Drama,CBS,14/03/2019,83,8,6.1,40
The Lottery,1,"Drama,Science Fiction",LIFETIME,20/07/2014,60,14,6.1,39
The Spy,1,"Drama,Movie/Mini-Series,Action & Adventure,Suspense",Netflix,06/09/2019,68,16,6.1,29
The Romanoffs,1,Drama,Prime Video,12/10/2018,56,25,6.1,33
The Terror,2,Drama,AMC,12/08/2019,78,15,6.1,38
To Walk Invisible: The Brontë Sisters,1,Drama,PBS,26/03/2017,71,8,6.1,14
Tut,1,"Drama,Movie/Mini-Series,Educational",Spike TV,19/07/2015,46,15,6.1,23
Girls,6,"Comedy,Drama",HBO,12/02/2017,79,15,6.1,72
Girls,2,"Comedy,Drama",HBO,13/01/2013,84,20,6.1,197
Girlfriends (2018),1,Drama,Acorn TV,29/01/2018,87,4,6.1,8
Homeland,8,"Drama,Suspense",SHOWTIME,09/02/2020,71,10,6.1,23
Hap and Leonard,2,"Comedy,Drama",SUNDANCE,15/03/2017,86,4,6.1,24
House of Cards (2013),5,Drama,Netflix,30/05/2017,60,11,6.1,219
I Just Want My Pants Back,1,"Comedy,Drama",MTV,28/08/2011,68,7,6.1,11
Ravenswood,1,Drama,ABC Family,22/10/2013,55,5,6.1,41
Secret Diary of a Call Girl,2,Drama,SHOWTIME,18/01/2009,60,4,6.1,11
SEAL Team,1,"Drama,Action & Adventure",CBS,27/09/2017,57,16,6.1,64
The Bastard Executioner,1,"Drama,Action & Adventure",FX,15/09/2015,55,38,6.1,92
Beowulf,1,"Drama,Action & Adventure,Fantasy",ITV,23/01/2016,65,4,6.1,30
Aquarius,1,"Drama,Suspense",NBC,28/05/2015,58,36,6.1,68
Black Earth Rising,1,"Drama,Movie/Mini-Series,Suspense",Netflix,25/01/2019,59,9,6.1,14
Big Love,4,Drama,HBO,10/01/2010,68,16,6.1,12
Black-ish,1,"Comedy,Drama",ABC,24/09/2014,77,31,6.1,97
C.B. Strike,1,Drama,Cinemax,01/06/2018,59,6,6.1,14
Containment,1,Drama,The CW,19/04/2016,48,20,6.1,66
Dirty John,1,"Drama,Suspense",USA,25/11/2018,58,18,6.1,18
Philip K. Dick's Electric Dreams,1,"Drama,Science Fiction",Amazon Prime,12/01/2018,68,16,6.2,72
Jane by Design,1,Drama,ABC Family,03/01/2012,54,7,6.2,17
Masters of Sex,3,Drama,SHOWTIME,12/07/2015,72,15,6.2,50
Mary Kills People,1,Drama,LIFETIME,23/04/2017,66,8,6.2,25
Murder One,2,Drama,ABC,10/10/1996,73,16,6.2,5
Murder One,1,Drama,ABC,19/09/1995,99,25,6.2,24
The Loudest Voice,1,"Drama,Movie/Mini-Series",SHOWTIME,30/06/2019,61,30,6.2,19
The Real Housewives of Beverly Hills,1,"Drama,Reality,Game Show",Bravo,14/10/2010,62,8,6.2,15
The Sinner,3,"Drama,Suspense",USA,06/02/2020,81,5,6.2,20
The River,1,"Drama,Action & Adventure,Horror",ABC,07/02/2012,65,29,6.2,91
The Wiz Live!,1,"Drama,Music",NBC,03/12/2015,73,16,6.2,16
Tin Man,1,"Drama,Fantasy",SyFy,02/12/2007,53,20,6.2,102
Transparent,4,"Comedy,Drama",Amazon Instant Video,22/09/2017,74,10,6.2,34
Whiskey Cavalier,1,"Comedy,Drama",ABC,27/02/2019,64,17,6.2,41
Weeds,7,"Comedy,Drama",SHOWTIME,27/06/2011,68,5,6.2,71
Terra Nova,1,"Comedy,Drama,Action & Adventure,Science Fiction,Science",FOX,26/09/2011,64,28,6.2,307
God Friended Me,1,"Comedy,Drama",CBS,30/09/2018,57,14,6.2,46
Girls,4,"Comedy,Drama",HBO,11/01/2015,75,16,6.2,78
Game of Silence,1,"Drama,Suspense",NBC,12/04/2016,57,22,6.2,39
Hemingway and Gellhorn,1,"Drama,Movie/Mini-Series",HBO,28/05/2012,54,22,6.2,14
Helix,1,"Drama,Horror,Suspense,Science Fiction",SyFy,10/01/2014,67,15,6.2,183
Run (2020),1,"Comedy,Drama,Suspense",HBO,12/04/2020,74,21,6.2,13
Six,1,"Drama,Action & Adventure",History,18/01/2017,54,14,6.2,54
Strange Angel,1,Drama,CBS All Access,14/06/2018,58,9,6.2,12
Sun Records,1,"Drama,Music",CMT - Country Music Television,23/02/2017,65,8,6.2,17
Ed,1,"Comedy,Drama",NBC,08/10/2000,87,32,6.2,9
Big Love,5,Drama,HBO,16/01/2011,85,8,6.2,33
CSI: Miami,1,"Drama,Suspense",CBS,23/09/2002,69,30,6.2,27
Extant,2,"Drama,Fantasy,Suspense,Science Fiction",CBS,01/07/2015,63,6,6.2,38
Fairly Legal ,1,Drama,USA,20/01/2011,59,18,6.2,30
Intelligence (2013),1,"Drama,Action & Adventure,Fantasy,Science Fiction",CBS,07/01/2014,56,27,6.3,79
Kings of South Beach,1,"Drama,Suspense",A&E,12/03/2007,36,7,6.3,4
Marvel's Iron Fist,2,"Drama,Action & Adventure,Fantasy",Netflix,07/09/2018,39,6,6.3,155
Mistresses (2013),1,Drama,ABC,03/06/2013,42,16,6.3,49
Missing (2012),1,"Drama,Suspense",ABC,15/03/2012,56,25,6.3,34
"Midnight, Texas",1,"Drama,Action & Adventure,Fantasy,Horror,Suspense",NBC,24/07/2017,50,16,6.3,55
My Dinner with Herve,1,"Drama,Movie/Mini-Series",HBO,20/10/2018,68,10,6.3,12
Out There,1,"Comedy,Animation,Drama",IFC,22/02/2013,70,6,6.3,10
Orphan Black,4,"Drama,Science Fiction",BBC America,14/04/2016,80,5,6.3,125
The Cleaner,1,"Drama,Arts",A&E,15/07/2008,41,15,6.3,24
The Event ,1,"Drama,Action & Adventure,Suspense",NBC,20/09/2010,67,28,6.3,149
The Enemy Within,1,"Drama,Action & Adventure,Suspense",NBC,25/02/2019,55,11,6.3,26
The Messengers (2015),1,"Drama,Science Fiction",The CW,17/04/2015,56,15,6.3,51
The Lizzie Borden Chronicles,1,"Drama,Movie/Mini-Series,Action & Adventure,Horror",LIFETIME,05/04/2015,52,8,6.3,15
The Politician,1,"Comedy,Drama",Netflix,27/09/2019,66,32,6.3,36
The Sinner,2,"Drama,Suspense",USA,01/08/2018,75,16,6.3,43
Top Of The Lake,2,"Drama,Movie/Mini-Series",Sundance Channel,27/07/2017,73,21,6.3,35
Underground,2,Drama,WGN America,08/03/2017,79,4,6.3,10
Vida,1,Drama,Starz,06/05/2018,75,12,6.3,29
When We Rise,1,"Drama,Movie/Mini-Series",ABC,27/02/2017,67,24,6.3,49
Westworld,3,"Drama,Action & Adventure,Fantasy,Science Fiction",HBO,15/03/2020,64,22,6.3,68
Sons of Anarchy,7,"Drama,Action & Adventure",FX,09/09/2014,68,6,6.3,151
Gunpowder,1,"Drama,Movie/Mini-Series",HBO,18/12/2017,63,10,6.3,36
Shades of Blue,1,Drama,NBC,07/01/2016,58,30,6.3,114
Silver Bells,1,"Drama,Movie/Mini-Series",CBS,27/11/2005,38,6,6.3,9
Star Trek: Picard,1,"Drama,Science Fiction",CBS All Access,23/01/2020,76,27,6.3,143
Taxi Brooklyn,1,"Comedy,Drama,Action & Adventure",NBC,25/06/2014,51,15,6.3,31
The Alienist,1,"Drama,Suspense,Science Fiction",TNT,22/01/2018,61,26,6.3,100
Becoming Chaz,1,"Drama,Reality,Health & Lifestyle,Game Show",OWN,10/05/2011,78,8,6.3,6
APB,1,"Drama,Action & Adventure,Tech & Gaming",FOX,06/02/2017,45,18,6.3,54
Blood Drive,1,"Drama,Action & Adventure,Science Fiction",SyFy,14/06/2017,65,13,6.3,40
Canterbury's Law,1,"Drama,Suspense",FOX,10/03/2008,66,27,6.3,14
Condor,1,"Drama,Action & Adventure,Suspense",Audience Network,06/06/2018,66,7,6.3,25
Das Boot (2019),1,"Drama,Movie/Mini-Series,Action & Adventure",HULU,17/06/2019,70,9,6.3,16
Dead of Summer,1,"Drama,Fantasy,Horror,Suspense",Freeform,28/06/2016,39,11,6.3,49
Euphoria,1,Drama,HBO,16/06/2019,68,26,6.3,77
Emergence,1,"Drama,Suspense",ABC,24/09/2019,69,14,6.3,31
Feed the Beast (2016),1,Drama,AMC,05/06/2016,46,33,6.3,42
Falling Skies,1,"Drama,Action & Adventure,Suspense,Science Fiction",TNT,19/06/2011,70,27,6.3,357
Four Weddings and a Funeral,1,"Comedy,Drama",HULU,31/07/2019,50,20,6.3,7
For Life,1,Drama,ABC,11/02/2020,64,10,6.3,7
Five,1,"Drama,Movie/Mini-Series",LIFETIME,10/10/2011,78,6,6.3,4
Take The Money and Run,1,"Drama,Reality,Game Show",ABC,02/08/2011,56,5,6.3,10
King & Maxwell,1,Drama,TNT,10/06/2013,56,18,6.4,39
Marcella,1,"Drama,Suspense",ITV,01/07/2016,65,4,6.4,29
Mercy,1,"Comedy,Drama",NBC,23/09/2009,41,17,6.4,59
Of Kings and Prophets,1,Drama,ABC,08/03/2016,47,16,6.4,19
Powers,1,"Drama,Action & Adventure,Fantasy,Science Fiction",The PlayStation Network,10/03/2015,51,13,6.4,108
09/01/2001,1,"Drama,Action & Adventure",FOX,03/01/2018,60,21,6.4,48
Ally McBeal,1,"Comedy,Drama",FOX,08/09/1997,73,28,6.4,12
Absentia,1,"Drama,Suspense",Amazon Prime,02/02/2018,59,4,6.4,25
A Million Little Things,1,"Comedy,Drama",ABC,26/09/2018,51,18,6.4,29
Torchwood (UK),4,"Drama,Action & Adventure,Science Fiction",BBC-1,08/07/2011,70,24,6.4,49
The Handmaid's Tale,3,"Drama,Science Fiction",HULU,05/06/2019,68,14,6.4,92
The Last Tycoon,1,Drama,Amazon Prime,28/07/2017,57,30,6.4,22
The Hollow Crown,2,"Drama,Action & Adventure",PBS,11/12/2016,84,4,6.4,11
The Whispers,1,"Drama,Suspense,Science Fiction",ABC,01/06/2015,61,21,6.4,60
Titans (2018),1,"Drama,Action & Adventure",DC Universe,12/10/2018,55,8,6.4,263
True Detective,2,"Drama,Action & Adventure,Suspense",HBO,21/06/2015,61,41,6.4,822
Vida,2,Drama,Starz,26/05/2019,82,5,6.4,7
Versailles,1,Drama,Ovation TV,16/11/2015,55,6,6.4,27
Z: The Beginning of Everything,1,Drama,Amazon Prime,27/01/2017,61,17,6.4,27
Why Women Kill,1,"Comedy,Drama",CBS All Access,15/08/2019,62,15,6.4,18
Girls,3,"Comedy,Drama",HBO,12/01/2014,76,18,6.4,89
Grand Hotel (2019),1,Drama,ABC,17/06/2019,60,9,6.4,13
Heartland,1,Drama,TNT,18/06/2007,42,14,6.4,19
I Love Dick,1,"Comedy,Drama",Amazon Prime,12/05/2017,73,29,6.4,39
Prosecuting Casey Anthony,1,"Drama,Movie/Mini-Series",LIFETIME,19/01/2013,63,7,6.4,8
Proof,1,Drama,TNT,16/06/2015,59,11,6.4,36
Rescue Me,6,"Drama,Action & Adventure",FX,29/06/2010,78,10,6.4,28
Recovery Road,1,Drama,Freeform,25/01/2016,70,5,6.4,17
Roots (2016),1,"Drama,Movie/Mini-Series",LIFETIME,30/05/2016,83,33,6.4,58
Search Party (2016),2,"Comedy,Drama,Suspense",E!,19/11/2017,78,9,6.4,31
Snowfall,1,"Drama,Action & Adventure",FX,05/07/2017,62,38,6.4,35
Teen Beach Movie,1,"Drama,Movie/Mini-Series,Kids,Music",Disney Channel,19/07/2013,54,6,6.4,30
The Affair,3,Drama,SHOWTIME,20/11/2016,72,8,6.4,58
Bessie,1,"Drama,Movie/Mini-Series,Music",HBO,16/05/2015,75,20,6.4,20
Bellevue,1,"Drama,Suspense",CBC,20/02/2017,66,5,6.4,5
Chicago Med,1,"Drama,Action & Adventure",NBC,17/11/2015,52,17,6.4,58
Creepshow,1,"Drama,Horror",Shudder,26/09/2019,65,5,6.4,9
"Crazy, Sexy, Cool: The TLC Story",1,"Drama,Movie/Mini-Series,Music",VH1,21/10/2013,57,6,6.4,8
Confirmation,1,"Drama,Movie/Mini-Series",HBO,16/04/2016,72,25,6.4,34
Cucumber,1,"Comedy,Drama",E4,13/04/2015,73,7,6.4,12
Law & Order True Crime: The Menendez Murders,1,Drama,NBC,26/09/2017,57,29,6.5,25
Lodge 49,2,"Comedy,Drama",AMC,12/08/2019,80,5,6.5,8
Masters of Sex,4,Drama,SHOWTIME,11/09/2016,70,5,6.5,22
Marvel's Runaways,1,"Drama,Action & Adventure,Fantasy",HULU,21/11/2017,68,22,6.5,127
Motive,1,"Drama,Action & Adventure,Suspense",ABC,03/02/2013,51,14,6.5,22
Orphan Black,3,"Drama,Science Fiction",BBC America,18/04/2015,70,12,6.5,152
Orange is the New Black,5,"Comedy,Drama",Netflix,09/06/2017,67,20,6.5,181
V,1,"Drama,Action & Adventure,Science Fiction",ABC,03/11/2009,66,23,6.5,168
The Cape,1,"Drama,Fantasy",NBC,09/01/2011,54,25,6.5,86
The Dead Zone,1,"Drama,Action & Adventure,Horror,Suspense,Science Fiction",USA,16/06/2002,65,15,6.5,6
The First,1,"Drama,Science Fiction",HULU,14/09/2018,62,29,6.5,49
The Last Panthers,1,"Drama,Action & Adventure",Sundance Channel,13/04/2016,73,14,6.5,14
The L Word,1,Drama,SHOWTIME,18/01/2004,63,23,6.5,17
The Magicians (2016),4,"Drama,Fantasy,Horror",SyFy,23/01/2019,81,4,6.5,24
The New Edition Story,1,"Drama,Movie/Mini-Series,Music",BET,24/01/2017,76,11,6.5,21
The Society,1,"Drama,Suspense",Netflix,10/05/2019,66,9,6.5,40
The Walking Dead,6,"Drama,Action & Adventure,Fantasy,Horror,Suspense,Science Fiction",AMC,11/10/2015,79,10,6.5,660
Transparent,3,"Comedy,Drama",Amazon Instant Video,23/09/2016,90,15,6.5,90
Underground,1,Drama,WGN America,09/03/2016,74,28,6.5,33
Z Nation,1,"Drama,Action & Adventure,Horror",SyFy,12/09/2014,48,11,6.5,230
Wu-Tang: An American Saga,1,"Drama,Music",HULU,04/09/2019,58,4,6.5,13
Golden Boy,1,Drama,CBS,26/02/2013,63,23,6.5,34
Godfather of Harlem,1,Drama,Epix,29/09/2019,72,10,6.5,11
Frontier,1,"Drama,Action & Adventure",Netflix,20/01/2017,52,11,6.5,53
From the Earth to the Moon,1,"Drama,Movie/Mini-Series,Action & Adventure",HBO,05/04/1998,80,20,6.5,4
Insecure,3,"Comedy,Drama",HBO,12/08/2018,84,8,6.5,31
In Plain Sight,1,"Drama,Action & Adventure",USA,01/06/2008,56,19,6.5,46
"Roswell, New Mexico",1,"Drama,Science Fiction",The CW,15/01/2019,58,13,6.5,30
Rise,1,Drama,NBC,13/03/2018,59,27,6.5,26
Sanctuary,1,"Drama,Action & Adventure,Science Fiction",SyFy,03/10/2008,56,7,6.5,52
Safe (2018),1,"Drama,Suspense",Netflix,10/05/2018,67,5,6.5,49
Shut Eye,1,"Comedy,Drama,Science Fiction",HULU,07/12/2016,50,14,6.5,24
Single Ladies,1,"Comedy,Drama",VH1,30/05/2011,35,4,6.5,4
Sons of Liberty,1,"Drama,Movie/Mini-Series",The History Channel,25/01/2015,65,16,6.5,23
Armistead Maupin's Tales of the City,1,"Drama,Movie/Mini-Series",Netflix,07/06/2019,63,15,6.5,12
Catch-22 (2019),1,"Comedy,Drama,Movie/Mini-Series,Action & Adventure",HULU,17/05/2019,70,34,6.5,33
Claws,1,"Comedy,Drama",TNT,11/06/2017,64,21,6.5,35
Chicago Justice,1,Drama,NBC,01/03/2017,57,9,6.5,29
Designated Survivor,1,"Drama,Suspense",ABC,21/09/2016,71,35,6.5,252
Extant,1,"Drama,Fantasy,Suspense,Science Fiction",CBS,09/07/2014,68,31,6.5,160
Entourage,7,"Comedy,Drama",HBO,27/06/2010,61,9,6.5,50
Friends with Better Lives,1,"Comedy,Drama",CBS,31/03/2014,45,18,6.5,45
Flesh and Bone,1,Drama,Starz,08/11/2015,52,19,6.5,59
Dexter,6,"Drama,Suspense",SHOWTIME,02/10/2011,62,10,6.5,592
Melrose Place (1992),1,Drama,FOX,08/07/1992,47,8,6.6,7
Killing Fields,1,"Drama,Reality,Documentary,Science,Tech & Gaming",Discovery Channel,05/01/2016,59,8,6.6,26
L.A.'s Finest,1,"Drama,Action & Adventure",Spectrum Originals,13/05/2019,46,6,6.6,13
Manifest,1,"Drama,Suspense",NBC,24/09/2018,55,15,6.6,59
Marvel's Luke Cage,2,"Drama,Action & Adventure,Science Fiction",Netflix,22/06/2018,64,13,6.6,147
Murder in the First,1,"Drama,Action & Adventure",TNT,09/06/2014,68,20,6.6,51
Mr. Mercedes,2,"Drama,Suspense",Audience Network,22/08/2018,76,4,6.6,20
O.G.,1,"Drama,Movie/Mini-Series",HBO,23/02/2019,69,8,6.6,8
"Perpetual Grace, LTD",1,Drama,Epix,02/06/2019,78,4,6.6,7
Alcatraz,1,Drama,FOX,16/01/2012,62,29,6.6,147
The Catch,1,"Comedy,Drama,Suspense",ABC,24/03/2016,59,33,6.6,62
The Book of Negroes,1,"Drama,Movie/Mini-Series",CBC,07/01/2015,77,9,6.6,15
The Kennedys,1,Drama,ReelzChannel,03/04/2011,50,24,6.6,20
The Shannara Chronicles,1,"Drama,Action & Adventure,Fantasy",Spike TV,05/01/2016,52,15,6.6,319
The Riches,1,Drama,FX,12/03/2007,69,30,6.6,82
